,Tavg,RH_avg,RR,ff_avg
0,28.1,80.0,21.3,5.0
1,29.7,75.0,11.408783783783784,6.0
2,28.3,78.0,11.408783783783784,7.0
3,29.0,76.0,11.408783783783784,6.0
4,27.8,72.0,0.3,10.0
5,28.3,74.0,11.408783783783784,7.0
6,27.9,78.0,11.408783783783784,4.0
7,28.7,77.0,11.408783783783784,5.0
8,28.3,80.0,11.408783783783784,4.0
9,30.0,70.0,11.408783783783784,4.0
10,27.1,77.0,0.3,6.0
11,27.9,68.0,0.2,6.0
12,27.9,81.0,1.5,6.0
13,25.6,87.0,12.2,5.0
14,24.4,93.0,9.7,5.0
15,26.6,76.0,19.3,9.0
16,25.9,87.0,11.408783783783784,3.0
17,25.1,92.0,2.3,2.0
18,26.1,84.0,6.0,7.0
19,26.5,84.0,1.3,7.0
20,27.0,82.0,6.2,5.0
21,25.6,89.0,4.5,10.0
22,26.7,84.0,1.5,7.0
23,27.1,84.0,7.8,5.0
24,25.8,85.0,26.0,6.0
25,26.9,83.0,11.408783783783784,7.0
26,28.0,76.0,4.2,6.0
27,25.2,90.0,1.3,6.0
28,25.8,86.0,7.6,7.0
29,26.0,90.0,10.7,6.0
30,26.9,84.0,4.4,5.0
31,27.4,86.0,3.0,1.0
32,27.6,83.0,20.6,2.0
33,27.1,86.0,11.408783783783784,2.0
34,27.4,85.0,1.3,2.0
35,25.0,92.0,19.1,2.0
36,24.9,92.0,16.9,2.0
37,25.4,91.0,11.3,1.0
38,25.6,93.0,1.7,2.0
39,25.9,91.0,38.3,2.0
40,27.0,86.0,7.7,3.0
41,26.2,89.0,0.4,3.0
42,26.8,84.0,11.408783783783784,3.0
43,26.8,87.0,1.7,1.0
44,26.1,87.0,0.5,1.0
45,25.4,92.0,1.4,2.0
46,26.9,81.0,24.7,2.0
47,27.6,76.0,11.408783783783784,2.0
48,26.9,83.0,2.0,2.0
49,25.7,93.0,0.4,2.0
50,27.0,86.0,15.7,3.0
51,26.9,87.0,11.408783783783784,2.0
52,26.8,89.0,16.8,1.0
53,27.3,86.0,11.408783783783784,2.0
54,27.7,79.0,0.0,2.0
55,27.6,84.0,16.6,2.0
56,27.0,86.0,4.0,2.0
57,27.5,85.0,32.0,2.0
58,27.4,86.0,0.6,1.0
59,27.3,85.0,11.408783783783784,0.0
60,27.7,84.0,3.6,4.0
61,26.7,90.0,11.408783783783784,4.0
62,27.8,85.0,27.7,3.0
63,27.3,85.0,11.408783783783784,3.0
64,27.4,85.0,3.0,4.0
65,26.8,87.0,0.1,7.0
66,26.8,89.0,34.2,5.0
67,27.4,85.0,16.1,6.0
68,27.6,83.0,11.408783783783784,5.0
69,27.6,87.0,5.3,6.0
70,27.2,85.0,26.2,5.0
71,27.0,88.0,11.408783783783784,3.0
72,26.8,86.0,11.408783783783784,3.0
73,29.3,74.0,12.0,6.0
74,27.6,82.0,11.408783783783784,4.0
75,26.9,88.0,14.1,3.0
76,27.2,80.0,2.3,3.0
77,27.9,80.0,3.4,4.0
78,27.0,84.0,13.0,6.0
79,26.3,83.0,36.8,6.0
80,26.3,84.0,11.408783783783784,3.0
81,27.8,80.0,9.6,5.0
82,26.1,87.0,11.408783783783784,4.0
83,27.0,488.0,11.408783783783784,7.0
84,27.7,83.0,10.5,5.0
85,27.6,80.0,11.408783783783784,4.0
86,27.2,84.0,11.408783783783784,5.0
87,27.3,80.0,2.0,5.0
88,27.8,78.0,9.0,5.0
89,28.9,77.0,11.408783783783784,7.0
